pico,large,micro,meso
16000000000000,6022000000000,11330000000000,11980000000000
15450000000000,6103000000000,11680000000000,11400000000000
15120000000000,5782000000000,11210000000000,11190000000000
14340000000000,5259000000000,10800000000000,10190000000000
13460000000000,4678000000000,10080000000000,9205000000000
12410000000000,4231000000000,9426000000000,8381000000000
12950000000000,4410000000000,10050000000000,8021000000000
13760000000000,5874000000000,11690000000000,8479000000000
14620000000000,8305000000000,13330000000000,10020000000000
15110000000000,9470000000000,13740000000000,12680000000000
16480000000000,7688000000000,12140000000000,14660000000000
17280000000000,6615000000000,11860000000000,14320000000000
16510000000000,6505000000000,11950000000000,13790000000000
16040000000000,6626000000000,12060000000000,13390000000000
15560000000000,6340000000000,11880000000000,12840000000000
14730000000000,5924000000000,11470000000000,11930000000000
13600000000000,5457000000000,10820000000000,11120000000000
12760000000000,5045000000000,10150000000000,10510000000000
12570000000000,4885000000000,10010000000000,9798000000000
