pico,large,micro,meso
13540000000000,5267400000000,11890000000000,8668000000000
13780000000000,6713000000000,13070000000000,9823000000000
14980000000000,7563000000000,12980000000000,11500000000000
15960000000000,6643000000000,11910000000000,12700000000000
16450000000000,5798000000000,11600000000000,12150000000000
15570000000000,5705000000000,11410000000000,11230000000000
15100000000000,5614000000000,11350000000000,10650000000000
15160000000000,5365000000000,11240000000000,10480000000000
14390000000000,4694000000000,10580000000000,9729000000000
13390000000000,4070000000000,9919000000000,8414000000000
12620000000000,3832000000000,9569000000000,7726000000000
12710000000000,4074000000000,9811000000000,7575000000000
13790000000000,5623000000000,11790000000000,8209000000000
14830000000000,7626000000000,13400000000000,10000000000000
14870000000000,8532000000000,13620000000000,12770000000000
16780000000000,7124000000000,12160000000000,14200000000000
17010000000000,6555000000000,11830000000000,13970000000000
16230000000000,6254000000000,11830000000000,13120000000000
15860000000000,6376000000000,12020000000000,12870000000000
15580000000000,6133000000000,11880000000000,12640000000000
14800000000000,5697000000000,11460000000000,11930000000000
13630000000000,5178000000000,10750000000000,10890000000000
12570000000000,4678000000000,10030000000000,9887000000000
12810000000000,4711000000000,10230000000000,9342000000000
13470000000000,5612000000000,11520000000000,9432000000000
13660000000000,6824000000000,12570000000000,10380000000000
15280000000000,7118000000000,12510000000000,11730000000000
15580000000000,7446000000000,12870000000000,13140000000000
16420000000000,6143000000000,11630000000000,12940000000000
15570000000000,6085000000000,11710000000000,11960000000000
15210000000000,6045000000000,11830000000000,11420000000000
14850000000000,5912000000000,11550000000000,11340000000000
14550000000000,5230000000000,10910000000000,10670000000000
13490000000000,4915000000000,10460000000000,9834000000000
12560000000000,4633000000000,9935000000000,9383000000000
12910000000000,4673000000000,10070000000000,8853000000000
13270000000000,5629000000000,11700000000000,9006000000000
14100000000000,6652000000000,12630000000000,9920000000000
14660000000000,7799000000000,13240000000000,11460000000000
16040000000000,7285000000000,12550000000000,12780000000000
16020000000000,6867000000000,12170000000000,12970000000000
16110000000000,6458000000000,11630000000000,12470000000000
15760000000000,6224000000000,11790000000000,12030000000000
15400000000000,6159000000000,11900000000000,12080000000000
14900000000000,5573000000000,11290000000000,11540000000000
13690000000000,5183000000000,10770000000000,10640000000000
12830000000000,4753000000000,10190000000000,9776000000000
12740000000000,4722000000000,10140000000000,9054000000000
13410000000000,5548000000000,11600000000000,9125000000000
14050000000000,6941000000000,13090000000000,10170000000000
14750000000000,7249000000000,12730000000000,11660000000000
15890000000000,7003000000000,12400000000000,12680000000000
16130000000000,6638000000000,11790000000000,12760000000000
16000000000000,6061000000000,11420000000000,11990000000000
15560000000000,6070000000000,11790000000000,11560000000000
15310000000000,5827000000000,11490000000000,11530000000000
14660000000000,5159000000000,10890000000000,10780000000000
13590000000000,4708000000000,10300000000000,9518000000000
12780000000000,4514000000000,9775000000000,9009000000000
13010000000000,4671000000000,10120000000000,8700000000000
14060000000000,5843000000000,11970000000000,9309000000000
15140000000000,7619000000000,13390000000000,10530000000000
15310000000000,8377000000000,13800000000000,12680000000000
16210000000000,7744000000000,13310000000000,14330000000000
16870000000000,6727000000000,11780000000000,14330000000000
16210000000000,6380000000000,11710000000000,13230000000000
15630000000000,6367000000000,11880000000000,12710000000000
15430000000000,6071000000000,11690000000000,12400000000000
14530000000000,5594000000000,11220000000000,11370000000000
13540000000000,4993000000000,10390000000000,10150000000000
12620000000000,4702000000000,9796000000000,9516000000000
12730000000000,4696000000000,9948000000000,8988000000000
13820000000000,5662000000000,11650000000000,9077000000000
14320000000000,8057000000000,13290000000000,10360000000000
15110000000000,9455000000000,13830000000000,12680000000000
16150000000000,7703000000000,12260000000000,14670000000000
16920000000000,6786000000000,11900000000000,14450000000000
16180000000000,6395000000000,11770000000000,13590000000000
15740000000000,6436000000000,12060000000000,12820000000000
15170000000000,6294000000000,11800000000000,12340000000000
14580000000000,5632000000000,11170000000000,11450000000000
13550000000000,5131000000000,10500000000000,10480000000000
12620000000000,4680000000000,9794000000000,9517000000000
12720000000000,4705000000000,10190000000000,9055000000000
13760000000000,6137000000000,12010000000000,9411000000000
13890000000000,7796000000000,13090000000000,10810000000000
15070000000000,8344000000000,12710000000000,12670000000000
16290000000000,7661000000000,12150000000000,14000000000000
16800000000000,6613000000000,11900000000000,13770000000000
15970000000000,6448000000000,11840000000000,12870000000000
15360000000000,6231000000000,11790000000000,12060000000000
15190000000000,6037000000000,11610000000000,11630000000000
14760000000000,5370000000000,10980000000000,10690000000000
13450000000000,4988000000000,10350000000000,9926000000000
12610000000000,4464000000000,9579000000000,9016000000000
12690000000000,4717000000000,10020000000000,8552000000000
13370000000000,5907000000000,11500000000000,8863000000000
